DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
2/29/20,1,11,0
3/1/20,0,4,0
3/2/20,0,21,0
3/3/20,2,20,0
3/4/20,5,22,0
3/5/20,3,20,0
3/6/20,8,18,0
3/7/20,7,15,0
3/8/20,21,17,0
3/9/20,58,49,0
3/10/20,70,63,0
3/11/20,155,90,1
3/12/20,357,94,0
3/13/20,620,157,0
3/14/20,643,157,2
3/15/20,"1,037",191,5
3/16/20,"2,122",316,8
3/17/20,"2,453",356,8
3/18/20,"2,974",471,20
3/19/20,"3,707",558,24
3/20/20,"4,007",665,47
3/21/20,"2,638",701,44
3/22/20,"2,580",725,50
3/23/20,"3,572","1,042",82
3/24/20,"4,506","1,167",95
3/25/20,"4,874","1,312",123
3/26/20,"5,051","1,454",190
3/27/20,"5,121","1,402",218
3/28/20,"3,477","1,371",274
3/29/20,"3,561","1,411",292
3/30/20,"6,131","1,722",325
3/31/20,"5,467","1,701",385
4/1/20,"5,453","1,650",447
4/2/20,"5,758","1,627",499
4/3/20,"5,671","1,603",498
4/4/20,"3,868","1,350",512
4/5/20,"3,788","1,339",580
4/6/20,"6,367","1,722",575
4/7/20,"6,055","1,610",599
4/8/20,"5,582","1,547",569
4/9/20,"5,072","1,424",561
4/10/20,"4,517","1,346",540
4/11/20,"3,731","1,108",542
4/12/20,"2,890",997,572
4/13/20,"3,313","1,214",570
4/14/20,"4,146","1,094",510
4/15/20,"3,877",983,455
4/16/20,"3,529",884,414
4/17/20,"3,584",903,385
4/18/20,"2,172",675,390
4/19/20,"2,347",592,399
4/20/20,"3,793",729,364
4/21/20,"3,065",668,324
4/22/20,"3,461",600,313
4/23/20,"2,843",537,332
4/24/20,"2,536",554,316
4/25/20,"1,595",405,264
4/26/20,"1,003",375,247
4/27/20,"2,297",448,271
4/28/20,"2,729",448,229
4/29/20,"2,342",408,240
4/30/20,"2,024",350,225
5/1/20,"1,889",354,210
5/2/20,"1,060",267,191
5/3/20,786,267,177
5/4/20,"1,553",344,159
5/5/20,"1,513",322,152
5/6/20,"1,401",310,151
5/7/20,"1,235",285,141
5/8/20,"1,081",297,131
5/9/20,657,212,100
5/10/20,458,165,103
5/11/20,"1,233",246,104
5/12/20,"1,285",210,91
5/13/20,"1,336",230,83
5/14/20,"1,112",220,70
5/15/20,875,234,86
5/16/20,487,163,83
5/17/20,359,125,77
5/18/20,897,178,58
5/19/20,"1,003",206,54
5/20/20,"1,081",169,81
5/21/20,"1,070",175,45
5/22/20,"1,049",197,65
5/23/20,460,134,60
5/24/20,471,118,49
5/25/20,468,140,49
5/26/20,"1,054",151,38
5/27/20,745,161,49
5/28/20,646,139,38
5/29/20,647,170,43
5/30/20,348,98,54
5/31/20,231,91,39
6/1/20,687,124,34
6/2/20,574,123,38
6/3/20,517,115,43
6/4/20,525,90,33
6/5/20,403,65,28
6/6/20,247,46,35
6/7/20,199,47,25
6/8/20,451,62,40
6/9/20,420,51,33
6/10/20,365,45,32
6/11/20,368,41,21
6/12/20,410,55,24
6/13/20,196,28,15
6/14/20,183,44,24
6/15/20,379,50,20
6/16/20,422,50,18
6/17/20,355,41,20
6/18/20,379,39,17
6/19/20,362,39,17
6/20/20,205,27,19
6/21/20,176,35,28
6/22/20,398,44,25
6/23/20,383,42,27
6/24/20,382,37,25
6/25/20,296,37,19
6/26/20,311,35,20
6/27/20,208,36,21
6/28/20,202,32,19
6/29/20,437,39,24
6/30/20,443,37,23
7/1/20,398,29,12
7/2/20,417,30,24
7/3/20,231,21,22
7/4/20,120,22,14
7/5/20,153,24,17
7/6/20,435,43,16
7/7/20,463,40,13
7/8/20,435,32,20
7/9/20,394,43,10
7/10/20,309,35,10
7/11/20,255,30,13
7/12/20,223,18,11
7/13/20,482,46,17
7/14/20,400,33,10
7/15/20,438,27,14
7/16/20,419,30,9
7/17/20,415,47,13
7/18/20,217,29,11
7/19/20,176,33,7
7/20/20,397,32,11
7/21/20,338,22,11
7/22/20,327,31,8
7/23/20,307,34,9
7/24/20,303,34,6
7/25/20,152,30,11
7/26/20,139,18,8
7/27/20,320,43,5
7/28/20,312,35,12
7/29/20,287,23,5
7/30/20,267,32,4
7/31/20,263,27,5
8/1/20,185,22,8
8/2/20,135,28,2
8/3/20,352,29,3
8/4/20,188,31,6
8/5/20,311,27,8
8/6/20,288,31,6
8/7/20,270,18,5
8/8/20,154,17,6
8/9/20,133,25,3
8/10/20,299,27,6
8/11/20,259,18,6
8/12/20,317,26,2
8/13/20,262,33,3
8/14/20,280,30,4
8/15/20,150,22,7
8/16/20,138,19,5
8/17/20,331,26,6
8/18/20,282,35,2
8/19/20,285,28,2
8/20/20,221,29,7
8/21/20,241,29,3
8/22/20,143,20,6
8/23/20,152,18,4
8/24/20,294,25,8
8/25/20,278,34,5
8/26/20,305,22,6
8/27/20,258,30,1
8/28/20,286,19,6
8/29/20,119,21,4
8/30/20,171,21,8
8/31/20,301,29,3
9/1/20,286,20,5
9/2/20,285,22,7
9/3/20,273,20,6
9/4/20,220,26,4
9/5/20,161,20,3
9/6/20,205,23,7
9/7/20,213,23,3
9/8/20,376,26,2
9/9/20,343,27,3
9/10/20,315,21,3
9/11/20,292,28,4
9/12/20,192,8,5
9/13/20,249,16,3
9/14/20,407,18,4
9/15/20,325,26,3
9/16/20,348,33,7
9/17/20,333,26,4
9/18/20,265,26,4
9/19/20,141,21,4
9/20/20,154,19,3
9/21/20,468,21,3
9/22/20,341,21,3
9/23/20,377,31,3
9/24/20,308,24,4
9/25/20,197,16,1
9/26/20,55,0,1
9/27/20,19,0,0
